evidence_id,method_id,material_id,material_group,entry_id,protocol_number,protocol_source,doi,source_pdf,json_file,target_material,formula,elements,morphology,morphology_reported,route,route_reported,phase_or_structure,full_synthesis_procedure,notes,precursors,additives,solvent,temperature_C,time_h,time_min,pH,pressure_or_vessel,atmosphere,mixing_or_addition_sequence,washing,drying_temperature_C,calcination_temperature_C,post_treatment,support_or_substrate,particle_size_nm,diameter_nm,length_nm,width_nm,thickness_nm,yield,confidence
evidence_ebdc033812b19a,method_0c47e5e918810c,mat_16ae0f2cd035fa,Ag,10668,1,main_protocol,10.1021/jp9105713,10668.pdf,10668.json,Uniform silver nanospheres,Ag,Ag,nanosphere,Nanospheres,polyol,Polyol synthesis in PEG followed by autoclave heating,Uniform face-centered cubic silver nanospheres,"PVP (444 mg, MW 40,000) was added to 40 mL PEG 600 under stirring at 80 °C. Once transparent, 1 mL of 0.5 M AgNO3 aqueous solution was rapidly injected. After the solution changed from colorless to light yellow during stirring and heating, it was transferred to an 80 mL Teflon-sealed autoclave and heated at 260 °C for 24 h. After air cooling, the particles were centrifuged at 16,000 rpm for 20 min and repeatedly redispersed and centrifuged in water or ethanol to remove PEG and PVP. The final sample was dispersed in ethanol.",The optimal reported PVP/AgNO3 molar ratio was 8.,"[{""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""444 mg"", ""molecular_weight"": ""40,000""}, {""name"": ""Polyethylene glycol 600"", ""formula"": ""PEG 600"", ""amount"": ""40 mL""}, {""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""1 mL of 0.5 M aqueous solution""}]","[""PVP (capping agent)"", ""PEG 600 (solvent and reducing agent)""]",PEG 600 with a small aqueous AgNO3 feed; final dispersion in ethanol,260,24,,,80 mL Teflon-sealed autoclave,,"Add PVP to PEG 600 and stir at 80 °C until transparent, then rapidly inject aqueous AgNO3. Continue magnetic stirring/heating until the solution changes from colorless to light yellow, then transfer to a Teflon-sealed autoclave.","Centrifuge at 16,000 rpm for 20 min; redisperse and re-centrifuge several times in deionized water or ethanol.",,,Cool in air to room temperature and finally disperse purified nanospheres in ethanol.,,54 ± 10,54 ± 10,,,,"Reported as high yield, without a numerical value.","{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_314f792caed9a0,method_d5fd4ad27fba91,mat_116477fbbb69be,Ag,10989,1,main_protocol,10.1016/j.talanta.2010.03.019,10989.pdf,10989.json,Fe3O4–Ag hybrid submicrospheres,Ag,Ag,nanoparticle,Hybrid submicrospheres decorated with Ag nanoparticles,solvothermal,Two-step solvothermal synthesis and electrostatic assembly,Magnetite submicrosphere core with surface-assembled Ag nanoparticles,"FeCl3·6H2O (0.625 g, 2.5 mmol) was dissolved in 20 mL ethylene glycol, followed by 1.8 g sodium acetate and 0.5 g PEG. After 30 min vigorous stirring, the mixture was sealed in a 30 mL Teflon-lined autoclave and heated at 200 °C for 8 h. The black Fe3O4 product was washed and redispersed in 10 mL water. One millilitre of this dispersion was magnetically separated and redispersed in 9 mL trichloromethane plus 1 mL ethanol, mixed with 200 µL APTES, and sonicated for 8 h. The functionalized Fe3O4 was magnetically separated, washed, and redispersed in 10 mL water. Separately, 20 mL of 1 mM AgNO3 was mixed with 1.6 mL of 38.8 mM sodium citrate, followed by dropwise addition of 0.4 mL of 112 mM NaBH4 under vigorous stirring. The Ag colloid was aged for 24 h. Finally, 1 mL APTES-functionalized Fe3O4 dispersion was mixed with 22 mL Ag colloid and sonicated for 30 min. The hybrid spheres were magnetically separated, washed several times with water, and redispersed in 1 mL water.","This is a composite synthesis, not a free-standing Ag powder route.","[{""name"": ""Iron(III) chloride hexahydrate"", ""formula"": ""FeCl3·6H2O"", ""amount"": ""0.625 g (2.5 mmol)""}, {""name"": ""Sodium acetate"", ""formula"": ""NaAc"", ""amount"": ""1.8 g""}, {""name"": ""Polyethylene glycol"", ""formula"": ""PEG"", ""amount"": ""0.5 g""}, {""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""20 mL of 1 mM aqueous solution""}, {""name"": ""Sodium citrate"", ""formula"": ""Na3C6H5O7"", ""amount"": ""1.6 mL of 38.8 mM aqueous solution""}, {""name"": ""Sodium borohydride"", ""formula"": ""NaBH4"", ""amount"": ""0.4 mL of 112 mM aqueous solution""}, {""name"": ""3-Aminopropyltriethoxysilane"", ""formula"": ""APTES"", ""amount"": ""200 µL""}]","[""Sodium acetate"", ""PEG"", ""APTES linker"", ""Sodium citrate"", ""NaBH4 reducing agent""]","Ethylene glycol, water, trichloromethane/ethanol mixture",200,8,,,30 mL Teflon-lined autoclave,,"Prepare Fe3O4 spheres solvothermally, functionalize them with APTES, separately prepare citrate-stabilized Ag nanoparticles by NaBH4 reduction, then sonicate the two dispersions together.",Wash Fe3O4 and hybrid products several times with water; magnetic separation used.,,,Age Ag nanoparticle solution for 24 h before assembly; redisperse final hybrid in 1 mL water.,Fe3O4 submicrospheres,Fe3O4 spheres ~400 nm; Ag nanoparticles not numerically specified,~400 for Fe3O4 submicrospheres,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""medium""}"
evidence_897021b4630416,method_d0f55fccb09c00,mat_9df4bda922a90f,Ag,11313,1,main_protocol,10.1016/j.materresbull.2014.12.001,11313.pdf,11313.json,Ag nanospheres supported on ZnO nanorods,Ag,Ag,nanorod,Ag nanospheres supported on ZnO nanorods,precipitation,Microwave-assisted deposition–precipitation,Ag nanoparticles deposited on wurtzite ZnO nanorods,"Zn(NO3)2 (5 g) was dissolved in 100 mL ethanol and 1 M NaOH was added dropwise under stirring until pH 10. The mixture was irradiated in an open-vessel microwave reactor at one-third of 800 W for 10–15 min and removed at the onset of boiling. After cooling, ZnO nanorods were filtered and washed with water and ethanol. For Ag deposition, 4 g ZnO was dispersed in 100 mL aqueous 2 wt.% glucose and stirred for 10 min. AgNO3 solution was added dropwise until pH 7, then the mixture was microwave irradiated for 10 min and removed before boiling. After cooling, the Ag/ZnO product was centrifuged at 5000 rpm for 5 min and washed thoroughly with water and ethanol.",The exact AgNO3 concentration/volume is not reported in the accessible text; cost calculations for the composite require the stated 1 wt.% Ag loading.,"[{""name"": ""Zinc nitrate"", ""formula"": ""Zn(NO3)2"", ""amount"": ""5 g in 100 mL ethanol""}, {""name"": ""Sodium hydroxide"", ""formula"": ""NaOH"", ""amount"": ""1 M solution added to pH 10""}, {""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""Amount adjusted to obtain 1 wt.% Ag; exact volume/concentration not reported""}, {""name"": ""Glucose"", ""formula"": ""C6H12O6"", ""amount"": ""2 wt.% in 100 mL aqueous dispersion""}]","[""Glucose reducing agent"", ""NaOH""]",Ethanol for ZnO synthesis; water for Ag deposition,Microwave heating to just below boiling,,10–15 min for ZnO; 10 min for Ag deposition,10 for ZnO precipitation; 7 during Ag deposition,Open-vessel microwave reactor,Ambient,"Prepare ZnO nanorods first, disperse 4 g ZnO in aqueous 2 wt.% glucose, stir 10 min, add AgNO3 solution dropwise until pH 7, then microwave irradiate for 10 min.",Centrifuge at 5000 rpm for 5 min and wash thoroughly with distilled water and ethanol.,,,Cool naturally in air before isolation.,ZnO nanorods,,,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""low""}"
evidence_9da649f5cb3356,method_8a065e9d264c42,mat_484a82d616464e,Ag,12080,1,main_protocol,10.1016/j.cej.2018.07.047,12080.pdf,12080.json,Silver nanowires used as the scaffold for an Ag@PPy sponge,Ag,Ag,nanowire,Nanowires,solvothermal,Solvothermal synthesis,Ag nanowires subsequently coated with polypyrrole,"NaCl and PVP were dissolved in ethylene glycol. A separate ethylene glycol solution containing AgNO3 was added dropwise. The mixture was transferred to a Teflon-lined stainless-steel autoclave and heated at 160 °C for 6 h. The gray Ag nanowires were recovered by centrifugation, washed several times with deionized water, and redispersed in 50 mL water.","The paper omits exact AgNO3, PVP, NaCl, and ethylene glycol quantities for the nanowire synthesis.","[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""Certain mass dissolved in ethylene glycol; exact quantity not reported""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""Not reported"", ""molecular_weight"": ""1,300,000""}, {""name"": ""Sodium chloride"", ""formula"": ""NaCl"", ""amount"": ""Not reported""}, {""name"": ""Ethylene glycol"", ""formula"": ""C2H6O2"", ""amount"": ""Not reported""}]","[""PVP"", ""NaCl""]",Ethylene glycol; product redispersed in deionized water,160,6,,,Teflon-lined stainless-steel autoclave,,Dissolve NaCl and PVP in ethylene glycol. Separately dissolve AgNO3 in ethylene glycol and add it dropwise to the first solution.,Centrifuge and wash several times with deionized water.,,,Redisperse purified Ag nanowires in 50 mL deionized water.,,,48.3 average,"10,000 average",,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_41866cf0801b13,method_321a7efbb934d4,mat_29dad4072d3495,Ag,12652,1,main_protocol,10.1016/j.cplett.2017.08.051,12652.pdf,12652.json,Seed-grown silver nanoparticles for a plasmonic DSSC monolayer,Ag,Ag,nanoparticle,Nanoparticles,seed-mediated growth,Seed-mediated aqueous growth,Colloidal Ag nanoparticles,"AgNO3 solution (0.30 mL, 10 mM) was injected into 20 mL of 1 mM trisodium citrate and vigorously stirred for 5 min. NaBH4 solution (1.8 mL, 10 mM) was added and stirring continued for 5 min. The seed solution was aged for 3 h at room temperature. For growth, 9 mL seed solution, 11 mL distilled water, and 1.2 mL of 20 mM sodium ascorbate were mixed, followed by rapid injection of 1.2 mL of 10 mM AgNO3 under vigorous stirring.",Particle size was not explicitly reported in the accessible text.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""0.30 mL of 10 mM for seed; 1.2 mL of 10 mM for growth""}, {""name"": ""Trisodium citrate"", ""formula"": ""Na3C6H5O7"", ""amount"": ""20 mL of 1 mM""}, {""name"": ""Sodium borohydride"", ""formula"": ""NaBH4"", ""amount"": ""1.8 mL of 10 mM""}, {""name"": ""Sodium ascorbate"", ""formula"": ""C6H7NaO6"", ""amount"": ""1.2 mL of 20 mM""}]","[""Trisodium citrate stabilizer"", ""NaBH4 reducing agent"", ""Sodium ascorbate reducing agent""]",Water,Room temperature,3 h seed ageing; growth reaction time not stated,,,Open vessel at ambient pressure,Ambient,"Inject AgNO3 into trisodium citrate, stir 5 min, add NaBH4 and stir 5 min, age seeds for 3 h, then mix seed solution with water and sodium ascorbate and rapidly inject AgNO3.",,,,Used as colloidal nanoparticles for immobilization in a plasmonic layer.,TiO2 photoactive layer in the subsequent DSSC fabrication,,,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""medium"", ""morphology"": ""high"", ""particle_size"": ""low""}"
evidence_39acdabb37c3e3,method_ac913970407ea9,mat_3801883f89571b,Ag,135,1,main_protocol,10.1039/C6TA03308C,135.pdf,135.json,"Very-long, thin silver nanowires",Ag,Ag,nanowire,"Very-long, thin nanowires",hydrothermal,Hydrothermal synthesis,Face-centered cubic silver nanowires,"Silver nitrate (15 mL, 0.02 M), D-glucose (0.12 g in 5 mL water), PVP (1 g in 5 mL water), and sodium chloride (15 mL, 0.04 M) were prepared separately. The PVP solution was prepared at 65 °C. Glucose solution was added to the silver nitrate solution with stirring. After 5–10 min, the PVP solution was added and the mixture was stirred for 20 min. Sodium chloride solution was then injected dropwise with continuous stirring. The resulting turbid hydrosol was transferred to a 50 mL Teflon-lined stainless-steel autoclave and heated at 160 °C for 22 h. After natural air cooling, the gray-white precipitate was centrifuged at 2500 rpm for 60 min, washed three times with distilled water and 3–4 times with isopropanol, and finally dispersed in isopropanol.",The paper reports very-long Ag nanowires with lengths of 200–500 µm and diameters of 45–65 nm.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""15 mL of 0.02 M aqueous solution""}, {""name"": ""D-glucose"", ""formula"": ""C6H12O6"", ""amount"": ""0.12 g in 5 mL deionized water""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""1 g in 5 mL deionized water"", ""molecular_weight"": ""~40,000""}, {""name"": ""Sodium chloride"", ""formula"": ""NaCl"", ""amount"": ""15 mL of 0.04 M aqueous solution""}]","[""PVP (capping/shape-directing agent)"", ""NaCl (chloride source)"", ""D-glucose (reducing agent)""]",Deionized water; final dispersion in isopropanol,160,22,,,50 mL Teflon-lined stainless-steel autoclave; autogenous pressure,,"Prepare AgNO3, glucose, PVP, and NaCl as four separate aqueous solutions. Prepare PVP solution at 65 °C and the other solutions at room temperature. Add glucose solution to AgNO3 under continuous stirring. After 5–10 min, add PVP solution and stir for 20 min. Inject NaCl solution dropwise under continuous stirring.",Collect by centrifugation at 2500 rpm for 60 min; wash three times with distilled water and 3–4 times with isopropanol.,,,Air-cool autoclave naturally to room temperature; gently shake wires before centrifugation to avoid breakage and remove PVP; disperse final product in isopropanol.,,,45–65,"200,000–500,000",,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_a0b48665e2990b,method_101a74c2b4073c,mat_0d3f311789ea4d,Ag,15627,1,main_protocol,10.1016/j.jtice.2016.12.004,15627.pdf,15627.json,Silver nanowires used as a core for Ag NWs–CdS–Au photocatalyst,Ag,Ag,nanowire,Nanowires,hydrothermal,Hydrothermal synthesis,Face-centered-cubic Ag nanowires,"The paper reports hydrothermal preparation of Ag nanowires using PVP and L-cysteine in ethylene glycol. The accessible full-text extraction confirms 1.67 g PVP, 0.0061 g L-cysteine, and 50 mL ethylene glycol, but does not expose the complete AgNO3 amount, hydrothermal temperature, duration, or purification details. These fields are therefore not inferred.",Incomplete experimental parameters in the accessible extraction; retain nulls rather than infer from related literature.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""Exact amount not recoverable from accessible text""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""1.67 g""}, {""name"": ""L-cysteine"", ""formula"": ""C3H7NO2S"", ""amount"": ""0.0061 g""}, {""name"": ""Ethylene glycol"", ""formula"": ""C2H6O2"", ""amount"": ""50 mL""}]","[""PVP"", ""L-cysteine""]",Ethylene glycol,,,,,Hydrothermal autoclave,,"Add PVP and L-cysteine to ethylene glycol, introduce AgNO3, and carry out hydrothermal growth of Ag nanowires.",,,,Ag nanowires were later functionalized with thioglycolic acid and used as a core for CdS and Au loading.,,,,,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""low"", ""morphology"": ""high"", ""particle_size"": ""low""}"
evidence_80fdde30295de7,method_628f73294f2a76,mat_d79eaf9809561d,Ag,168,1,main_protocol,10.1002/cplu.201500032,168.pdf,168.json,Multicrystalline silver nanowires used as templates for Ag/AgBr necklace-like heterostructures,Ag,Ag,nanowire,Nanowires,polyol,Polyol-thermal synthesis,"Cubic, multicrystalline Ag nanowires","PVP (0.067 g) was dissolved in 10 mL glycerol and 3 mL ethylene glycol. In a separate vial, AgNO3 (0.034 g) was dissolved in 5 mL glycerol. The solutions were mixed, transferred to a Teflon-lined autoclave, and maintained at 200 °C for 5 h. The resulting Ag nanowires were centrifuged, washed with water to remove PVP and polyols, and redispersed in water.",The Ceder target Ag is best matched to the Ag nanowire template synthesis rather than the subsequent Ag/AgBr conversion.,"[{""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""0.067 g""}, {""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""0.034 g""}, {""name"": ""Glycerol"", ""formula"": ""C3H8O3"", ""amount"": ""10 mL for PVP solution plus 5 mL for AgNO3 solution""}, {""name"": ""Ethylene glycol"", ""formula"": ""C2H6O2"", ""amount"": ""3 mL""}]","[""PVP (capping agent)""]",Glycerol/ethylene glycol mixed polyol solvent; redispersed in water after purification,200,5,,,Teflon-lined autoclave,,"Dissolve 0.067 g PVP in 10 mL glycerol and 3 mL ethylene glycol. Separately dissolve 0.034 g AgNO3 in 5 mL glycerol. Mix the two solutions, transfer to a Teflon-lined autoclave, and heat at 200 °C for 5 h.",Centrifuge and wash with water to remove PVP and polyols.,,,Redisperse the purified Ag nanowires in water.,,,~40,Several micrometres,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_d91bc1dd09160a,method_62dbdfe201b465,mat_f11d73bfbe1158,Ag,18223,1,main_protocol,10.1039/c2jm32508j,18223.pdf,18223.json,Twin-crystalline silver nanowires used as templates for Pt nanotubes,Ag,Ag,nanowire,Nanowires,hydrothermal,Hydrothermal synthesis,Twin-crystalline Ag nanowires,"PVP (0.15 g, MW ~1,300,000) was completely dissolved in 30 mL of 0.02 M glucose solution under magnetic stirring. Fresh 0.05 M AgNO3 solution (0.8 mL) was added under continuous vigorous stirring. The mixture was transferred to a 40 mL Teflon-sealed stainless-steel autoclave and heated at 150 °C for 4 h. The resulting solution was sonicated for 10 min and used directly as a uniform Ag nanowire colloid.",The paper's main product is Pt nanotubes; this record captures the Ag nanowire template synthesis.,"[{""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""0.15 g"", ""molecular_weight"": ""~1,300,000""}, {""name"": ""Glucose"", ""formula"": ""C6H12O6"", ""amount"": ""30 mL of 0.02 M solution""}, {""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""0.8 mL of freshly prepared 0.05 M solution""}]","[""PVP"", ""Glucose reducing agent""]",Water,150,4,,,40 mL Teflon-sealed stainless-steel autoclave,,"Dissolve PVP in glucose solution with stirring, add AgNO3 under vigorous stirring, and transfer directly to the autoclave.",No purification before use as Pt template.,,,Sonicate the final solution for 10 min to form a uniform colloid.,,,~45,~1500,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""high""}"
evidence_75a4c0253b2d4c,method_6876d2eab102dc,mat_7849a91836b5ff,Ag,18468,1,example_protocol,10.1039/c2ra20815f,18468.pdf,18468.json,Shape-controlled Ag nanoparticles and Ag nanoplates,Ag,Ag,nanoparticle,Ag nanoparticle,polyol,Polyol synthesis and aqueous PVP-mediated synthesis,Ag nanoparticles and two-dimensional Ag nanoplates,"For Ag nanoparticles, 3.0 mL of 94 mM AgNO3, 3.0 mL of 147 mM PVP (MW 55,000), and 6 mL polyol were mixed and heated at 140 °C for 1 h. Using 1,2-propanediol, 1,4-butanediol, or 1,5-pentanediol gave average sizes of about 60, 40, or 30 nm, respectively. Ethanol was added for centrifugation and collection. For Ag nanoplates, 100 mg PVP (MW 29,000) in 8 mL water was heated at 60 °C under stirring. AgNO3 (95.8 mg) was dissolved in 3 mL water and added to the PVP solution. The mixture was aged at 60 °C in air for 21 h, centrifuged, washed with ethanol, and redispersed in water.",The Ceder morphology should be checked against whether the entry refers to the nanoparticle or nanoplate branch.,"[{""name"": ""Silver nitrate"", ""formula"": ""AgNO3"", ""amount"": ""3.0 mL of 94 mM for nanoparticles; 95.8 mg in 3 mL water for nanoplates""}, {""name"": ""Poly(vinylpyrrolidone)"", ""formula"": ""PVP"", ""amount"": ""3.0 mL of 147 mM, MW 55,000 for nanoparticles; 100 mg, MW 29,000 for nanoplates""}, {""name"": ""Polyol"", ""formula"": ""1,5-pentanediol / 1,4-butanediol / 1,2-propanediol"", ""amount"": ""6 mL for nanoparticle synthesis""}]","[""PVP""]","1,2-propanediol",140 °C for nanoparticles; 60 °C for nanoplates,1 h for nanoparticles; 21 h for nanoplates,,,Open heated reaction vessel in air,Air,"For nanoparticles, mix AgNO3, PVP, and polyol and heat. For nanoplates, heat aqueous PVP at 60 °C, separately dissolve AgNO3 in water, add it to the PVP solution, and age.",Collect by centrifugation; wash nanoplates with ethanol to remove excess PVP.,,,Redisperse nanoplates in water; collect nanoparticles in vials after ethanol-assisted centrifugation.,,Ag NPs: 30–60 depending on polyol; nanoplates not numerically specified in accessible text,"Ag NPs: 30, 40, or 60",,,,,"{""synthesis_route"": ""high"", ""temperature_time"": ""high"", ""morphology"": ""high"", ""particle_size"": ""medium""}"
