material_id,material_group,formula,elements,n_elements,target_material,morphology,morphology_reported,phase_or_structure
mat_116477fbbb69be,Ag,Ag,Ag,1,Fe3O4–Ag hybrid submicrospheres,nanoparticle,Hybrid submicrospheres decorated with Ag nanoparticles,Magnetite submicrosphere core with surface-assembled Ag nanoparticles
mat_29dad4072d3495,Ag,Ag,Ag,1,Seed-grown silver nanoparticles for a plasmonic DSSC monolayer,nanoparticle,Nanoparticles,Colloidal Ag nanoparticles
mat_7849a91836b5ff,Ag,Ag,Ag,1,Shape-controlled Ag nanoparticles and Ag nanoplates,nanoparticle,Ag nanoparticle,Ag nanoparticles and two-dimensional Ag nanoplates
mat_534badba603c3d,Ag,Ag,Ag,1,PVP-capped silver nanoparticles used as cores for AgNPs@MnO2,nanoparticle,Nanoparticles,Uniform PVP-capped Ag nanoparticles
mat_5776c97c80c3f3,Ag,Ag,Ag,1,Closely packed silver nanoparticles grown directly on a silanized tapered optical fiber,nanoparticle,Closely packed nanoparticles,Face-centered-cubic Ag nanoparticle layer on a tapered silica fiber
mat_14c4253f5fe91c,Ag,Ag,Ag,1,PVP-coated silver nanoparticles for conductive ink,nanoparticle,Nanoparticles,PVP-coated Ag nanoparticles
mat_23babe8d5a91b7,Ag,Ag,Ag,1,BSA-stabilized silver nanoparticles,nanoparticle,"Larger, more anisotropic nanoparticles",BSA-capped crystalline Ag nanoparticles
mat_5b796c398cd61b,Ag,Ag,Ag,1,Thiol-functionalized PCL-stabilized silver nanoparticles,nanoparticle,Nanoparticles,Polymer-protected Ag nanoparticles
mat_99ab3c28b05302,Ag,Ag,Ag,1,Silver nanoparticles and Ag/hydroxyapatite nanocomposite spheres,nanoparticle,Silver nanoparticles; nanocomposite spheres,Pure silver nanoparticles electrostatically loaded on hydroxyapatite nanoribbon spherulites
mat_0d6e3437f7d748,Ag,Ag,Ag,1,Shape-controlled Ag nanoparticles and Ag nanoplates,nanoplate,Ag nanoplate,Ag nanoparticles and two-dimensional Ag nanoplates
mat_aa0929caaf7f17,Ag,Ag,Ag,1,Single-crystal silver nanoplatelets,nanoplate,Nanoplatelets,Single-crystal face-centered-cubic Ag nanoplatelets exposing {111} basal facets
mat_d0427708949621,Ag,Ag,Ag,1,Large silver nanoplates,nanoplate,Triangular and hexagonal nanoplates,Thin triangular or hexagonal Ag nanoplates
mat_d9d64700d09288,Ag,Ag,Ag,1,Silver nanoplates grown directly on a tapered optical-fiber tip,nanoplate,Nanoplates,Silver nanoplates supported on tapered multimode silica fiber
mat_9df4bda922a90f,Ag,Ag,Ag,1,Ag nanospheres supported on ZnO nanorods,nanorod,Ag nanospheres supported on ZnO nanorods,Ag nanoparticles deposited on wurtzite ZnO nanorods
mat_54721ad036714a,Ag,Ag,Ag,1,Silver nanostructures with controlled morphology,nanorod,nanorod,"Ag nanospheres, polygonal nanospheres, nanorods, and truncated triangular nanoplates"
mat_16ae0f2cd035fa,Ag,Ag,Ag,1,Uniform silver nanospheres,nanosphere,Nanospheres,Uniform face-centered cubic silver nanospheres
mat_a262a92e19a379,Ag,Ag,Ag,1,Silver nanospheres used as sacrificial templates for hollow gold nanoshells,nanosphere,Nanospheres,Colloidal Ag nanospheres
mat_9e87aa43d6311e,Ag,Ag,Ag,1,Size-controlled silver nanoparticles for metal-enhanced upconversion luminescence,nanosphere,Nanospheres,Crystalline Ag nanoparticles
mat_1f2004c870e234,Ag,Ag,Ag,1,BSA-stabilized silver nanoparticles,nanosphere,"Smaller, mainly spherical nanoparticles",BSA-capped crystalline Ag nanoparticles
mat_7d5353face1cbf,Ag,Ag,Ag,1,Highly dispersed spherical silver nanoparticles,nanosphere,Spherical nanoparticles,Face-centered cubic silver nanoparticles
mat_0b300b34f1818e,Ag,Ag,Ag,1,Silver nanostructures with controlled morphology,nanosphere,polygonal nanosphere,"Ag nanospheres, polygonal nanospheres, nanorods, and truncated triangular nanoplates"
mat_ea7acd788810b8,Ag,Ag,Ag,1,Shape-controlled silver nanoparticles,nanotriangle,"Nanospheres, nanotriangles, nanorods, and nanocubes",Single-crystalline face-centered cubic silver
mat_4a916f77b0f984,Ag,Ag,Ag,1,Silver nanostructures with controlled morphology,nanotriangle,truncated triangle,"Ag nanospheres, polygonal nanospheres, nanorods, and truncated triangular nanoplates"
mat_484a82d616464e,Ag,Ag,Ag,1,Silver nanowires used as the scaffold for an Ag@PPy sponge,nanowire,Nanowires,Ag nanowires subsequently coated with polypyrrole
mat_3801883f89571b,Ag,Ag,Ag,1,"Very-long, thin silver nanowires",nanowire,"Very-long, thin nanowires",Face-centered cubic silver nanowires
mat_0d3f311789ea4d,Ag,Ag,Ag,1,Silver nanowires used as a core for Ag NWs–CdS–Au photocatalyst,nanowire,Nanowires,Face-centered-cubic Ag nanowires
